Entity_1,Entity_2,Property_Number,Propery_Name
Angela Merkel (Q567),Hamburg (Q1055),2,place of birth (P19);country of citizenship (P27)
Angela Merkel (Q567),Elim hospital (Q117744109),1,place of birth (P19)
Decoupled (Q110323803),Hardik Mehta (Q35488479),,
Philadelphia Union (Q689874),Chester (Q368045),2,home venue (P115);headquarters location (P159)
Pirates of the Caribbean (Q194318),Orlando Bloom (Q44467),,
Pirates of the Caribbean: The Curse of the Black Pearl (Q46717),Orlando Bloom (Q44467),1,cast member (P161)
